iter	RMSE
0	175.9333629
1	169.5790074
2	163.6645665
3	158.3043246
4	153.4499763
5	148.4030584
6	143.6078664
7	139.1754055
8	135.1651814
9	131.2228207
10	127.4132232
11	123.9762138
12	120.6360436
13	117.4672204
14	114.4960052
15	111.7294254
16	109.1287616
17	106.5909188
18	104.4317172
19	102.2844037
20	100.2267433
21	98.43915531
22	96.64286654
23	95.14450376
24	93.49109464
25	91.95921732
26	90.56426886
27	89.09600807
28	87.93589366
29	86.7719878
30	85.63114194
31	84.70443391
32	83.63318223
33	82.69926761
34	81.87067019
35	81.07335183
36	80.34239556
37	79.74056174
38	78.97492513
39	78.37455998
40	77.71615348
41	77.243359
42	76.56720599
43	76.02084507
44	75.6224805
45	75.19392895
46	74.66352306
47	74.10394919
48	73.68841284
49	73.31287209
50	72.83429102
51	72.48564287
52	72.16630003
53	71.79253575
54	71.53231755
55	71.22050155
56	70.91387533
57	70.54199859
58	70.29000046
59	70.03112547
60	69.75237667
61	69.47664887
62	69.20562711
63	68.99363662
64	68.76419401
65	68.52339562
66	68.3528662
67	68.16392469
68	67.99347793
69	67.83755886
70	67.67045835
71	67.45052013
72	67.31570857
73	67.1033237
74	66.90862972
75	66.75378925
76	66.5516818
77	66.40373645
78	66.27385327
79	66.12112398
80	65.98024869
81	65.82163263
82	65.6114629
83	65.50168341
84	65.33817894
85	65.19771223
86	65.07867748
87	64.95279055
88	64.82267548
89	64.73191844
90	64.61092109
91	64.51050318
92	64.26835968
93	64.10791398
94	63.97216317
95	63.84742056
96	63.71042677
97	63.59016174
98	63.42073131
99	63.27549112
100	63.19605504
101	63.09140578
102	62.98182874
103	62.85497314
104	62.74569163
105	62.66795255
106	62.59647387
107	62.48760991
108	62.41435244
109	62.31263947
110	62.14696317
111	62.08362534
112	61.99707641
113	61.86706563
114	61.80786694
115	61.67082085
116	61.56969312
117	61.45372426
118	61.32274541
119	61.25818539
120	61.12623516
121	61.03003804
122	60.94249187
123	60.81773243
124	60.6773697
125	60.60929303
126	60.47680733
127	60.39967075
128	60.33871135
129	60.25397721
130	60.1859902
131	60.03037031
132	59.9764149
133	59.87569216
134	59.79813541
135	59.67953577
136	59.58166371
137	59.49101567
138	59.3840803
139	59.29180206
140	59.20450779
141	59.1042389
142	59.01640369
143	58.90591805
144	58.85636837
145	58.78024287
146	58.70737417
147	58.58048737
148	58.54143461
149	58.42060436
150	58.32093298
151	58.23174677
152	58.16145821
153	58.09581724
154	58.02734218
155	58.02577357
156	57.94219725
157	57.88871863
158	57.78371128
159	57.70467783
160	57.65333483
161	57.58240318
162	57.5231505
163	57.43717087
164	57.33903601
165	57.26302054
166	57.16394156
167	57.10310122
168	56.99333505
169	56.90980351
170	56.83597486
171	56.72041225
172	56.65347486
173	56.55378556
174	56.50549304
175	56.43794316
176	56.43618029
177	56.37745775
178	56.29693996
179	56.26164327
180	56.19606349
181	56.1192845
182	56.05625181
183	55.98516041
184	55.91436807
185	55.85351331
186	55.7932288
187	55.729657
188	55.66650187
189	55.60473252
190	55.5139835
191	55.44331811
192	55.3923967
193	55.33265576
194	55.29243499
195	55.22458955
196	55.17732677
197	55.1259519
198	55.0746635
199	55.00292273
200	54.92164807
201	54.83135585
202	54.74915049
203	54.66440072
204	54.61018541
205	54.54717912
206	54.48325039
207	54.39905997
208	54.33337328
209	54.24826344
210	54.17917166
211	54.10349256
212	54.03449346
213	53.9494862
214	53.86434463
215	53.82642759
216	53.75585062
217	53.6801657
218	53.63076787
219	53.56268703
220	53.51743933
221	53.43483815
222	53.37368371
223	53.31866515
224	53.2625778
225	53.19768228
226	53.10777943
227	53.06497215
228	52.99957072
229	52.93400899
230	52.89297835
231	52.84873549
232	52.80933068
233	52.75018173
234	52.68593088
235	52.60458214
236	52.54663293
237	52.48340095
238	52.43706703
239	52.35581126
240	52.27960835
241	52.21094103
242	52.14569531
243	52.07228397
244	52.0279257
245	51.97167647
246	51.91563371
247	51.85121012
248	51.768246
249	51.71615359
250	51.65099136
251	51.59157032
252	51.53454836
253	51.47666408
254	51.43036535
255	51.36861778
256	51.33253104
257	51.24556776
258	51.18098049
259	51.12334414
260	51.05748422
261	50.98360963
262	50.91338749
263	50.8804075
264	50.83296894
265	50.769095
266	50.72903202
267	50.66942345
268	50.62114488
269	50.56592389
270	50.51278364
271	50.45523223
272	50.3964795
273	50.35745644
274	50.31748115
275	50.28091202
276	50.21786534
277	50.17954265
278	50.13441131
279	50.09138244
280	50.05828693
281	49.98988947
282	49.91467687
283	49.85105692
284	49.7824162
285	49.70191094
286	49.63651754
287	49.60330128
288	49.56032927
289	49.50993139
290	49.46365585
291	49.42944981
292	49.39904791
293	49.36993786
294	49.29405597
295	49.25480432
296	49.20877795
297	49.17204317
298	49.11122749
299	49.05413277
300	49.00806456
301	48.95992771
302	48.88820992
303	48.82902075
304	48.77729495
305	48.70617393
306	48.64684389
307	48.59351127
308	48.53963332
309	48.48631545
310	48.44400657
311	48.38151233
312	48.31908774
313	48.2741725
314	48.24312997
315	48.2007887
316	48.15946011
317	48.12667639
318	48.08431644
319	48.04567218
320	48.02421213
321	47.98104032
322	47.94319522
323	47.8936194
324	47.8353869
325	47.78776064
326	47.71672872
327	47.66077522
328	47.60932998
329	47.56279584
330	47.53838849
331	47.47490925
332	47.43195895
333	47.38315535
334	47.34023183
335	47.29894549
336	47.25399121
337	47.20877169
338	47.16002746
339	47.11795292
340	47.06229232
341	47.02313308
342	46.98630805
343	46.94849117
344	46.91749998
345	46.87055322
346	46.82433431
347	46.76626662
348	46.71335483
349	46.67132104
350	46.62441587
351	46.57248209
352	46.51322165
353	46.46507249
354	46.40605548
355	46.36562627
356	46.33154059
357	46.30740245
358	46.27371303
359	46.22146971
360	46.17934328
361	46.14818979
362	46.10828302
363	46.07116946
364	46.02600989
365	45.97660188
366	45.92355481
367	45.8924106
368	45.85790628
369	45.81212078
370	45.79228847
371	45.75605155
372	45.69812243
373	45.6729101
374	45.63904149
375	45.60574314
376	45.55998006
377	45.50900263
378	45.47613575
379	45.40859443
380	45.35443373
381	45.3015042
382	45.25623754
383	45.23201056
384	45.19640809
385	45.15504196
386	45.1338251
387	45.10391649
388	45.05556905
389	45.00520185
390	44.96207629
391	44.9163402
392	44.88624395
393	44.8394653
394	44.81704098
395	44.77058806
396	44.73351674
397	44.71209711
398	44.66673118
399	44.62141669
400	44.60016369
401	44.55891618
402	44.51604668
403	44.48191672
404	44.43824002
405	44.38034306
406	44.34937365
407	44.30964589
408	44.2758511
409	44.25043605
410	44.22700755
411	44.20658463
412	44.1708473
413	44.1279484
414	44.09547288
415	44.04887943
416	44.01916331
417	43.97663615
418	43.93933894
419	43.92230737
420	43.88664374
421	43.86541991
422	43.83664746
423	43.78855724
424	43.76133594
425	43.73255237
426	43.67840177
427	43.65020146
428	43.61088216
429	43.56797406
430	43.53389978
431	43.49298618
432	43.44356464
433	43.38843924
434	43.37441534
435	43.34386349
436	43.29775361
437	43.25673435
438	43.22478493
439	43.18318636
440	43.14717996
441	43.08746062
442	43.05351524
443	43.01508019
444	42.96668058
445	42.91343267
446	42.88898902
447	42.83736088
448	42.80904412
449	42.76604761
450	42.73132199
451	42.69090611
452	42.65498804
453	42.61510725
454	42.58141162
455	42.55236707
456	42.51183005
457	42.47709796
458	42.43587299
459	42.40186743
460	42.37039017
461	42.34079169
462	42.29487128
463	42.24831301
464	42.22085434
465	42.18975134
466	42.1547032
467	42.10499926
468	42.0746812
469	42.01585467
470	41.97682566
471	41.93278502
472	41.89386089
473	41.86079391
474	41.82634271
475	41.77946045
476	41.73949485
477	41.71562119
478	41.68190727
479	41.64115009
480	41.62998052
481	41.60898794
482	41.57972264
483	41.5535189
484	41.53547709
485	41.50288257
486	41.46428629
487	41.42958375
488	41.3861332
489	41.35314318
490	41.32695691
491	41.2919858
492	41.26398968
493	41.24520849
494	41.21820448
495	41.18188946
496	41.14560562
497	41.10867971
498	41.08113442
499	41.02346601
500	41.00036094
501	40.96692271
502	40.93847915
503	40.91343781
504	40.8951089
505	40.87967176
506	40.8549853
507	40.82175928
508	40.79122806
509	40.75889653
510	40.7323395
511	40.69695836
512	40.67948358
513	40.6501655
514	40.60689479
515	40.57677104
516	40.55336923
517	40.52476681
518	40.49867516
519	40.46753021
520	40.44534885
521	40.43332676
522	40.41238197
523	40.38683783
524	40.35894628
525	40.33547461
526	40.29818697
527	40.26877514
528	40.22819583
529	40.20473026
530	40.17080422
531	40.13637341
532	40.10758425
533	40.08291583
534	40.05724713
535	40.0121421
536	39.97807879
537	39.9613552
538	39.92877569
539	39.88565818
540	39.86030459
541	39.83811036
542	39.8158224
543	39.79542589
544	39.76114016
545	39.72779414
546	39.69813379
547	39.68775563
548	39.66331386
549	39.63545218
550	39.61229049
551	39.58899985
552	39.55783776
553	39.52780099
554	39.48867145
555	39.46033186
556	39.43914869
557	39.40581511
558	39.37503635
559	39.34942067
560	39.32657594
561	39.30462039
562	39.27385804
563	39.25171911
564	39.21269138
565	39.19985708
566	39.16646036
567	39.13700831
568	39.11469014
569	39.08918214
570	39.05182131
571	39.02617885
572	38.99781672
573	38.97107992
574	38.93794056
575	38.92010953
576	38.89972376
577	38.86844405
578	38.84070302
579	38.81786661
580	38.79598073
581	38.78295886
582	38.74832891
583	38.71963777
584	38.67623902
585	38.62896029
586	38.59849465
587	38.58523612
588	38.56422619
589	38.52035965
590	38.49221121
591	38.47261702
592	38.45208468
593	38.41709954
594	38.39060638
595	38.371014
596	38.34473279
597	38.32081126
598	38.29593839
599	38.27047174
600	38.23375496
601	38.21135233
602	38.19676058
603	38.15557166
604	38.12848833
605	38.09956387
606	38.07763644
607	38.04876643
608	38.02975949
609	38.00549631
610	37.98184101
611	37.93884347
612	37.91749684
613	37.88733668
614	37.86260212
615	37.83151121
616	37.81260934
617	37.79765332
618	37.76375575
619	37.74572171
620	37.71472582
621	37.69135824
622	37.67180937
623	37.6462112
624	37.61590208
625	37.57856395
626	37.55486543
627	37.52348032
628	37.48752779
629	37.46764331
630	37.44174724
631	37.42141754
632	37.40305171
633	37.38327016
634	37.36116844
635	37.32003521
636	37.29329514
637	37.25814646
638	37.23110572
639	37.21043365
640	37.177057
641	37.16634003
642	37.12814871
643	37.09267097
644	37.06565714
645	37.04502327
646	37.02147683
647	37.00067582
648	36.98040488
649	36.94478443
650	36.92659945
651	36.91213065
652	36.8792794
653	36.8645758
654	36.84890046
655	36.83722963
656	36.81484722
657	36.80852573
658	36.78088462
659	36.75199441
660	36.73708667
661	36.70860296
662	36.68658881
663	36.66697229
664	36.6392803
665	36.62276614
666	36.61102528
667	36.59456593
668	36.56340118
669	36.52838907
670	36.50124552
671	36.48925717
672	36.47040538
673	36.45193879
674	36.43111572
675	36.4062999
676	36.36695437
677	36.34019025
678	36.32737477
679	36.29868467
680	36.28326533
681	36.25771163
682	36.24402693
683	36.21107821
684	36.19095323
685	36.16585809
686	36.14985779
687	36.12646693
688	36.10096159
689	36.08814333
690	36.06922085
691	36.05237443
692	36.03887086
693	36.00536546
694	35.98219017
695	35.96783247
696	35.94638556
697	35.92330523
698	35.91228463
699	35.89503737
700	35.87011253
701	35.84116858
702	35.83118913
703	35.82220546
704	35.79717606
705	35.78447706
706	35.75928127
707	35.73349799
708	35.71067387
709	35.68939918
710	35.67138533
711	35.64446295
712	35.6199506
713	35.59478479
714	35.57317588
715	35.54991001
716	35.53369993
717	35.52169858
718	35.50596804
719	35.48726556
720	35.46193602
721	35.43578218
722	35.41625286
723	35.39911627
724	35.36828451
725	35.35667111
726	35.32966249
727	35.3111955
728	35.2815609
729	35.27213033
730	35.26172356
731	35.22839356
732	35.21766166
733	35.20815575
734	35.17673032
735	35.15618448
736	35.14829831
737	35.12153494
738	35.0853302
739	35.04681071
740	35.02315039
741	35.00493193
742	34.98380827
743	34.97184428
744	34.96274593
745	34.95209327
746	34.93983714
747	34.91112954
748	34.89543037
749	34.88605679
750	34.86672677
751	34.85112087
752	34.82805595
753	34.81487929
754	34.78607816
755	34.77923351
756	34.75338417
757	34.73042294
758	34.69289899
759	34.68478544
760	34.67244852
761	34.64039908
762	34.6142094
763	34.59300498
764	34.57975624
765	34.55076376
766	34.52591417
767	34.50255869
768	34.47368101
769	34.4421438
770	34.42582188
771	34.40389147
772	34.38150247
773	34.36023166
774	34.34331472
775	34.32892784
776	34.31455264
777	34.30090154
778	34.2894831
779	34.28057779
780	34.26384378
781	34.2441294
782	34.22759711
783	34.20006182
784	34.18541256
785	34.17259315
786	34.16078136
787	34.14446361
788	34.11795102
789	34.11191259
790	34.10046588
791	34.080961
792	34.06398842
793	34.05324001
794	34.03380257
795	34.01922712
796	34.00950374
797	33.99845872
798	33.98026339
799	33.96009309
800	33.93883942
801	33.91020486
802	33.89410507
803	33.86648752
804	33.84553799
805	33.83565434
806	33.82493097
807	33.80844216
808	33.79000023
809	33.76880647
810	33.74415659
811	33.70360985
812	33.68367916
813	33.66221995
814	33.64340756
815	33.61793602
816	33.59323685
817	33.57898934
818	33.56510075
819	33.54692976
820	33.53922626
821	33.52189594
822	33.5098643
823	33.49127647
824	33.48399051
825	33.45816531
826	33.44360627
827	33.42463138
828	33.41279758
829	33.39479803
830	33.38007637
831	33.36204254
832	33.34557105
833	33.3279674
834	33.30799091
835	33.2854238
836	33.26705911
837	33.26166729
838	33.24272803
839	33.23330366
840	33.22422839
841	33.19749579
842	33.17598883
843	33.14387181
844	33.12782182
845	33.10895145
846	33.09996759
847	33.07949798
848	33.06167843
849	33.05214194
850	33.02395081
851	33.00642932
852	32.98950103
853	32.97107809
854	32.96402537
855	32.94087901
856	32.92464002
857	32.90994122
858	32.89014464
859	32.87769585
860	32.8675679
861	32.84835541
862	32.82426218
863	32.80584037
864	32.78715896
865	32.76229041
866	32.74632269
867	32.72927285
868	32.69536449
869	32.68877032
870	32.67151024
871	32.65740969
872	32.64719619
873	32.61140022
874	32.59155396
875	32.57489298
876	32.55849256
877	32.54615915
878	32.53370235
879	32.51672209
880	32.49859439
881	32.48850095
882	32.47541695
